#FamilyID	pvalue	Significant at 0.05
OG0000000	0	y
OG0000001	0	y
OG0000002	0	y
OG0000003	0	y
OG0000004	0	y
OG0000005	0	y
OG0000006	0	y
OG0000007	0	y
OG0000008	0	y
OG0000010	0	y
OG0000012	0	y
OG0000014	0	y
OG0000016	0	y
OG0000017	0	y
OG0000020	0	y
OG0000021	0	y
OG0000022	0	y
OG0000023	0	y
OG0000024	0	y
OG0000025	0	y
OG0000026	0	y
OG0000027	0	y
OG0000028	0	y
OG0000029	0	y
OG0000031	0	y
OG0000033	0	y
OG0000034	0	y
OG0000035	0	y
OG0000036	0	y
OG0000037	0	y
OG0000039	0	y
OG0000041	0	y
OG0000042	0	y
OG0000045	0	y
OG0000048	0	y
OG0000051	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000056	0	y
OG0000057	0	y
OG0000058	0.001	y
OG0000059	0	y
OG0000060	0	y
OG0000061	0	y
OG0000062	0.024	y
OG0000063	0	y
OG0000064	0	y
OG0000066	0	y
OG0000068	0	y
OG0000069	0.02	y
OG0000070	0	y
OG0000071	0	y
OG0000072	0	y
OG0000073	0.004	y
OG0000076	0	y
OG0000077	0	y
OG0000079	0	y
OG0000082	0	y
OG0000083	0	y
OG0000086	0	y
OG0000088	0	y
OG0000089	0	y
OG0000090	0	y
OG0000092	0	y
OG0000093	0	y
OG0000094	0	y
OG0000096	0	y
OG0000097	0	y
OG0000100	0.047	y
OG0000101	0	y
OG0000102	0	y
OG0000103	0	y
OG0000106	0	y
OG0000108	0	y
OG0000109	0	y
OG0000110	0	y
OG0000113	0	y
OG0000114	0	y
OG0000115	0	y
OG0000121	0	y
OG0000123	0.009	y
OG0000124	0	y
OG0000125	0	y
OG0000126	0.025	y
OG0000127	0	y
OG0000132	0	y
OG0000133	0	y
OG0000137	0	y
OG0000138	0	y
OG0000140	0	y
OG0000141	0	y
OG0000146	0.002	y
OG0000148	0.021	y
OG0000149	0	y
OG0000155	0.023	y
OG0000156	0	y
OG0000157	0.025	y
OG0000158	0	y
OG0000160	0	y
OG0000161	0	y
OG0000162	0	y
OG0000165	0.005	y
OG0000166	0.005	y
OG0000167	0	y
OG0000169	0.002	y
OG0000173	0	y
OG0000174	0.002	y
OG0000175	0.009	y
OG0000181	0	y
OG0000182	0.002	y
OG0000183	0.011	y
OG0000184	0	y
OG0000186	0	y
OG0000187	0.002	y
OG0000189	0	y
OG0000194	0	y
OG0000199	0	y
OG0000202	0	y
OG0000203	0	y
OG0000204	0.001	y
OG0000205	0	y
OG0000207	0.005	y
OG0000209	0	y
OG0000211	0	y
OG0000212	0.004	y
OG0000213	0	y
OG0000216	0	y
OG0000217	0.009	y
OG0000218	0	y
OG0000219	0	y
OG0000220	0	y
OG0000221	0	y
OG0000222	0	y
OG0000224	0	y
OG0000225	0	y
OG0000226	0.026	y
OG0000229	0.004	y
OG0000230	0	y
OG0000232	0.009	y
OG0000233	0	y
OG0000236	0	y
OG0000238	0.005	y
OG0000239	0	y
OG0000241	0	y
OG0000243	0.002	y
OG0000245	0	y
OG0000246	0.002	y
OG0000248	0	y
OG0000249	0	y
OG0000256	0	y
OG0000258	0.002	y
OG0000259	0.007	y
OG0000260	0.002	y
OG0000262	0.006	y
OG0000263	0.004	y
OG0000264	0.047	y
OG0000266	0	y
OG0000268	0	y
OG0000269	0.041	y
OG0000271	0	y
OG0000272	0.013	y
OG0000273	0	y
OG0000275	0	y
OG0000276	0	y
OG0000286	0	y
OG0000287	0	y
OG0000291	0.002	y
OG0000292	0	y
OG0000295	0.036	y
OG0000296	0	y
OG0000297	0.002	y
OG0000298	0.006	y
OG0000303	0.005	y
OG0000304	0	y
OG0000311	0.027	y
OG0000312	0	y
OG0000314	0	y
OG0000315	0	y
OG0000316	0	y
OG0000319	0	y
OG0000322	0	y
OG0000323	0.002	y
OG0000324	0	y
OG0000325	0	y
OG0000326	0.044	y
OG0000328	0	y
OG0000330	0	y
OG0000331	0.002	y
OG0000333	0	y
OG0000339	0	y
OG0000340	0	y
OG0000342	0.004	y
OG0000343	0.002	y
OG0000345	0.002	y
OG0000348	0	y
OG0000350	0.002	y
OG0000351	0.002	y
OG0000352	0.004	y
OG0000353	0	y
OG0000355	0	y
OG0000356	0.039	y
OG0000357	0	y
OG0000360	0	y
OG0000363	0.03	y
OG0000364	0	y
OG0000367	0.03	y
OG0000369	0.005	y
OG0000370	0.005	y
OG0000375	0	y
OG0000376	0	y
OG0000377	0	y
OG0000378	0	y
OG0000380	0.002	y
OG0000381	0.002	y
OG0000382	0.035	y
OG0000383	0	y
OG0000384	0	y
OG0000385	0.002	y
OG0000386	0	y
OG0000390	0.024	y
OG0000393	0	y
OG0000394	0.002	y
OG0000395	0	y
OG0000399	0.008	y
OG0000409	0.005	y
OG0000412	0	y
OG0000413	0.002	y
OG0000416	0	y
OG0000422	0	y
OG0000423	0	y
OG0000425	0.01	y
OG0000426	0	y
OG0000427	0	y
OG0000428	0	y
OG0000431	0	y
OG0000432	0.021	y
OG0000434	0	y
OG0000435	0	y
OG0000444	0.004	y
OG0000445	0.002	y
OG0000450	0	y
