OG0004000	GO:0005856,GO:0031032,GO:0008092
OG0004002	GO:0010265
OG0004010	GO:0016020,GO:0016887,GO:0005215,GO:0005524,GO:0140326,GO:0000166,GO:0000287,GO:0015914,GO:0005768,GO:0005802,GO:0005886,GO:0006890,GO:0006897,GO:0045332
OG0004003	GO:0070273,GO:0005802,GO:0005829,GO:0006890,GO:0007030,GO:0031985,GO:0043001,GO:0048194
OG0004011	GO:0016787,GO:0006915,GO:0004520,GO:0004536,GO:0006309,GO:0005634,GO:0005737
OG0004004	GO:0005777,GO:0005778,GO:0033328,GO:0045046
OG0004005	GO:0006364,GO:0019843,GO:0000460,GO:0000470,GO:0005730,GO:0030687,GO:0042134
OG0004020	GO:0005509,GO:0005783
OG0004006	GO:0005254,GO:0005886,GO:1902476
OG0004007	GO:0000978,GO:0003700,GO:0006357
OG0003301	GO:0005515
OG0004021	GO:0005515,GO:0005929,GO:0030992,GO:0060271
OG0004100	GO:0005509,GO:0005886,GO:0007157,GO:0032991,GO:0045197
OG0003302	GO:0005509
OG0004008	GO:0005634,GO:0006355,GO:0035064
OG0004102	GO:0016020
OG0004009	GO:0006508,GO:0004252
OG0004030	GO:0008190,GO:0045947,GO:0005737
OG0003310	GO:0003899,GO:0005634,GO:0006351,GO:0003677,GO:0032549
OG0003303	GO:0005634,GO:0018064,GO:0042038
OG0004023	GO:0004672,GO:0006468,GO:0016020,GO:0005886,GO:0005524,GO:0007155,GO:0004714,GO:0005509,GO:0007169,GO:0007156,GO:0007275,GO:0033674,GO:0043235,GO:0004713
OG0004016	GO:0089701,GO:0000398,GO:0003723,GO:0046872,GO:0003676
OG0004110	GO:0003700,GO:0006355,GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0030968
OG0004031	GO:0005747
OG0004103	GO:0005245,GO:0005891
OG0004104	GO:0008270,GO:0003700,GO:0006355,GO:0043565
OG0004032	GO:0000723,GO:0003678,GO:0006281
OG0003305	GO:0038166,GO:0005886
OG0004111	GO:0015267,GO:0016020,GO:0055085,GO:0005886
OG0004018	GO:0016757,GO:0016266,GO:0035252
OG0004105	GO:0006886,GO:0031267,GO:0005737,GO:0006606
OG0004112	GO:0015267,GO:0016020,GO:0055085,GO:0005886
OG0004019	GO:0005085,GO:0007264,GO:0043547
OG0003306	GO:0005515,GO:0005886,GO:0035331
OG0004040	GO:0016887,GO:0005524
OG0003320	GO:0005515,GO:0006338,GO:0006355,GO:0000417,GO:0000785,GO:0005634,GO:0006325,GO:0006351,GO:0031491
OG0004120	GO:0005886,GO:0008374,GO:0019432,GO:0045017
OG0003314	GO:0005930,GO:0035082,GO:0044458,GO:0060294
OG0004034	GO:0005886
OG0004106	GO:0016301,GO:0005515,GO:0004674,GO:0006974,GO:0006281
OG0003307	GO:0005121,GO:0005576,GO:0008083,GO:0021556,GO:0045087
OG0004041	GO:0003356,GO:0005930,GO:0036064
OG0004113	GO:0005634,GO:0008270,GO:0010468
OG0003321	GO:0009972,GO:0003824,GO:0004126,GO:0005829,GO:0008270,GO:0016787
OG0003400	GO:0004828,GO:0005524,GO:0006434,GO:0000166,GO:0004812,GO:0006418
OG0004107	GO:0006633,GO:0016616,GO:0048038
OG0003322	GO:0000221,GO:0046961,GO:1902600,GO:0005515,GO:0005765
OG0003315	GO:0005737,GO:0008270,GO:0061630
OG0003401	GO:0071004,GO:0005515,GO:0000398,GO:0003723,GO:0005685,GO:0045292
OG0003308	GO:0004674,GO:0005737,GO:0035556,GO:0050321,GO:0004672,GO:0005524,GO:0006468,GO:0000226
OG0004028	GO:0005615,GO:0016042,GO:0016298,GO:0017171,GO:0006629
OG0004121	GO:0000184
OG0004035	GO:0003676,GO:0008168,GO:0032259,GO:0016279
OG0004200	GO:0005524,GO:0006298,GO:0030983,GO:0005634,GO:0006312,GO:0003690,GO:0032301,GO:0140664
OG0004114	GO:0032299,GO:0043137,GO:0004523,GO:0003676,GO:0016070,GO:0003723,GO:0006298
OG0004029	GO:0016192
OG0004050	GO:0051287,GO:0016616,GO:0004617
OG0004108	GO:0007165,GO:0005096,GO:0005737,GO:0030833,GO:0051056
OG0003323	GO:0005802
OG0004115	GO:0005789,GO:0032434,GO:0034976,GO:0061666,GO:0071568,GO:0071569,GO:1990592
OG0003316	GO:0016567,GO:0046872,GO:0004842,GO:0000209,GO:0006511,GO:0005515,GO:0016607,GO:0043161,GO:0048856,GO:0061630,GO:0070534
OG0004043	GO:0003723,GO:0005515,GO:0003676
OG0004036	GO:0005783,GO:0061024,GO:0071786,GO:0016020
OG0003330	GO:0000978,GO:0000981,GO:0005634,GO:0005667,GO:0006357
OG0004122	GO:0007010,GO:0003779,GO:0000902,GO:0005737,GO:0007015,GO:0008179,GO:0019933
OG0004123	GO:0006486,GO:0008250,GO:0016020,GO:0018279
OG0003410	GO:0000347,GO:0000445,GO:0003729,GO:0006397,GO:0006406
OG0004037	GO:0005929
OG0005001	GO:0003713,GO:0016592,GO:0045944,GO:0003712,GO:0006357
OG0003403	GO:0010181,GO:0016491,GO:0005516,GO:0006809,GO:0020037,GO:0050660,GO:0050661,GO:0004517
OG0004044	GO:0005515,GO:0008233,GO:0008237
OG0003324	GO:0006388,GO:0008033,GO:0000213,GO:0003676,GO:0000214,GO:0000379,GO:0004519,GO:0005737
OG0004116	GO:0022857,GO:0055085
OG0004051	GO:0009190,GO:0035556,GO:0001653,GO:0006468,GO:0004016,GO:0004383,GO:0005886,GO:0006182,GO:0007168,GO:0004672,GO:0005524,GO:0016849
OG0003325	GO:0005739
OG0005002	GO:0004519,GO:0006364,GO:0090730,GO:0000460,GO:0000470,GO:0030687
OG0004210	GO:0006401,GO:0032299
OG0004117	GO:0005515,GO:0051879
OG0004052	GO:0032456,GO:0043130,GO:0046872,GO:0035091,GO:0005769,GO:0031623
OG0004038	GO:0003756,GO:0005783,GO:0006457
OG0003404	GO:0005515,GO:0005576,GO:0030513,GO:0036122
OG0004124	GO:0004722,GO:0016787
OG0004203	GO:0072488,GO:0005886,GO:0008519,GO:0097272,GO:0016020
OG0003411	GO:0006913
